lbs,delta_c,type,ft,kias,percent,lb/hr
weight,isa,cruise,alt,speed,trq,fuel_flow
46000,-10,LR,6000,225,37,1982
46000,-10,LR,10000,214,35.1,1796
46000,-10,LR,14000,205,33.5,1639
46000,-10,LR,18000,205,35.5,1580
46000,-10,LR,22000,199,35.5,1473
46000,-10,LR,25000,188,33.6,1361
46000,-10,INT,6000,234,42.1,2132
46000,-10,INT,10000,247,50.5,2230
46000,-10,INT,14000,243,50.8,2097
46000,-10,INT,18000,243,53.8,2088
46000,-10,INT,22000,230,49.8,1764
46000,-10,INT,25000,218,45.4,1707
46000,-10,HS,6000,245,45.4,2232
46000,-10,HS,10000,282,69.6,2744
46000,-10,HS,14000,284,75.4,2815
46000,-10,HS,18000,286,82.4,3009
46000,-10,HS,22000,264,70.6,2568
46000,-10,HS,25000,248,62.6,2274
46000,0,LR,6000,222,36.6,1989
46000,0,LR,10000,212,34.8,1806
46000,0,LR,14000,202,33.4,1652
46000,0,LR,18000,203,35.8,1605
46000,0,LR,22000,198,35.9,1503
46000,0,LR,25000,188,34.2,1396
46000,0,INT,6000,233,42.3,2157
46000,0,INT,10000,246,50.9,2266
46000,0,INT,14000,241,51.2,2132
46000,0,INT,18000,237,51.7,2048
46000,0,INT,22000,227,49.1,1891
46000,0,INT,25000,215,45.5,1731
46000,0,HS,6000,245,46.2,2273
46000,0,HS,10000,282,70.9,2819
46000,0,HS,14000,284,77,2901
46000,0,HS,18000,275,75.4,2791
46000,0,HS,22000,258,67.4,2487
46000,0,HS,25000,243,60.6,2230
46000,10,LR,6000,219,35.1,1962
46000,10,LR,10000,209,33.4,1780
46000,10,LR,14000,196,30.8,1594
46000,10,LR,18000,194,31.9,1523
46000,10,LR,22000,191,33.1,1447
46000,10,LR,25000,186,32.7,1368
46000,10,INT,6000,232,42.5,2184
46000,10,INT,10000,245,51.4,2306
46000,10,INT,14000,238,50.3,2136
46000,10,INT,18000,231,49.1,1992
46000,10,INT,22000,221,46.9,1849
46000,10,INT,25000,210,44,1709
46000,10,HS,6000,245,46.9,2317
46000,10,HS,10000,282,72.3,2893
46000,10,HS,14000,280,75.4,2890
46000,10,HS,18000,262,67.4,2551
46000,10,HS,22000,247,61.1,2292
46000,10,HS,25000,232,55.3,2065
50000,-10,LR,6000,228,39,2039
50000,-10,LR,10000,216,36.6,1840
50000,-10,LR,14000,211,37,1734
50000,-10,LR,18000,211,39,1667
50000,-10,LR,22000,199,37,1517
50000,-10,LR,25000,191,36.1,1437
50000,-10,INT,6000,235,43.5,2174
50000,-10,INT,10000,248,51.7,2260
50000,-10,INT,14000,246,53.2,2163
50000,-10,INT,18000,246,56.3,2162
50000,-10,INT,22000,231,51,1923
50000,-10,INT,25000,219,47.5,1766
50000,-10,HS,6000,245,46.1,2251
50000,-10,HS,10000,282,70.1,2218
50000,-10,HS,14000,284,75.9,2834
50000,-10,HS,18000,285,82.5,3011
50000,-10,HS,22000,264,71.3,2598
50000,-10,HS,25000,248,63.5,2309
50000,0,LR,6000,226,38.9,2054
50000,0,LR,10000,214,36.5,1857
50000,0,LR,14000,210,37.3,1764
50000,0,LR,18000,209,39.2,1693
50000,0,LR,22000,200,37.9,1559
50000,0,LR,25000,191,36.9,1476
50000,0,INT,6000,234,43.5,2195
50000,0,INT,10000,246,51.9,2291
50000,0,INT,14000,246,54,2211
50000,0,INT,18000,240,54.1,2120
50000,0,INT,22000,227,50.4,1929
50000,0,INT,25000,216,47.1,1778
50000,0,HS,6000,245,46.8,2292
50000,0,HS,10000,282,71.4,2833
50000,0,HS,14000,284,77.6,2918
50000,0,HS,18000,274,75.3,2789
50000,0,HS,22000,257,67.3,2484
50000,0,HS,25000,241,60.4,2225
50000,10,LR,6000,225,39.1,2081
50000,10,LR,10000,214,36.9,1984
50000,10,LR,14000,209,36.6,1789
50000,10,LR,18000,208,38.6,1719
50000,10,LR,22000,199,39.2,1596
50000,10,LR,25000,192,37.5,1504
50000,10,INT,6000,233,44,2228
50000,10,INT,10000,246,52.5,2333
50000,10,INT,14000,241,52.8,2201
50000,10,INT,18000,233,51.1,2054
50000,10,INT,22000,222,48.7,1901
50000,10,INT,25000,210,45.3,1748
50000,10,HS,6000,245,47.6,2335
50000,10,HS,10000,282,72.8,2911
50000,10,HS,14000,279,75.4,2889
50000,10,HS,18000,261,67.3,2549
50000,10,HS,22000,245,61,2289
50000,10,HS,25000,230,55.3,2059
54000,-10,LR,6000,230,40.5,2082
54000,-10,LR,10000,220,38.9,1907
54000,-10,LR,14000,219,40.8,1838
54000,-10,LR,18000,215,41.6,1736
54000,-10,LR,22000,201,39.3,1582
54000,-10,LR,25000,195,38.9,1523
54000,-10,INT,6000,236,44.6,2209
54000,-10,INT,10000,249,53,2291
54000,-10,INT,14000,250,56,2244
54000,-10,INT,18000,249,58.5,2227
54000,-10,INT,22000,232,52.8,1975
54000,-10,INT,25000,221,49.5,1826
54000,-10,HS,6000,245,46.8,2270
54000,-10,HS,10000,282,70.6,2778
54000,-10,HS,14000,284,76.5,2853
