lbs,degrees,kias,kias,kias
weight,flaps,v_app,v_ref,v_ga
39683,5,115,115,109
44092,5,120,120,110
48501,5,126,126,115
52910,5,131,131,120
57320,5,137,137,125
61729,5,142,142,130
63934,5,146,146,134
39683,10,103,108,108
44092,10,112,112,108
48501,10,117,117,108
52910,10,122,122,112
57320,10,127,127,117
61729,10,132,132,122
63934,10,136,136,125
39683,15,106,105,105
44092,15,106,108,105
48501,15,112,112,105
52910,15,117,117,107
57320,15,122,121,111
61729,15,126,126,116
63934,15,129,129,119
39683,35,101,101,101
44092,35,102,102,102
48501,35,107,107,107
52910,35,112,112,112
57320,35,116,116,116
61729,35,120,120,120
63934,35,123,123,123
