lbs,feet,C,degrees,kias,kias
weight,altitude,OAT,flaps,v_r,v_2
39683,0,0,5,102,116
44092,0,0,5,105,116
48501,0,0,5,112,117
52910,0,0,5,118,122
57320,0,0,5,124,127
61729,0,0,5,130,132
63934,0,0,5,132,135
39683,2000,0,5,102,115
44092,2000,0,5,106,115
48501,2000,0,5,113,117
52910,2000,0,5,119,122
57320,2000,0,5,125,127
61729,2000,0,5,131,132
63934,2000,0,5,134,135
39683,4000,0,5,102,114
44092,4000,0,5,107,114
48501,4000,0,5,113,117
52910,4000,0,5,120,122
57320,4000,0,5,126,127
61729,4000,0,5,131,132
63934,4000,0,5,135,135
39683,6000,0,5,102,113
44092,6000,0,5,107,113
48501,6000,0,5,114,117
52910,6000,0,5,120,122
57320,6000,0,5,126,127
61729,6000,0,5,132,132
63934,6000,0,5,136,135
39683,8000,0,5,102,112
44092,8000,0,5,108,112
48501,8000,0,5,115,117
52910,8000,0,5,121,122
57320,8000,0,5,127,127
61729,8000,0,5,133,132
63934,8000,0,5,137,135
39683,10000,0,5,103,111
44092,10000,0,5,110,111
48501,10000,0,5,116,117
52910,10000,0,5,122,122
57320,10000,0,5,128,127
61729,10000,0,5,134,132
63934,10000,0,5,138,135
39683,0,20,5,102,114
44092,0,20,5,107,114
48501,0,20,5,113,117
52910,0,20,5,120,122
57320,0,20,5,126,127
61729,0,20,5,131,132
63934,0,20,5,135,135
39683,2000,20,5,102,113
44092,2000,20,5,108,113
48501,2000,20,5,114,117
52910,2000,20,5,120,122
57320,2000,20,5,126,127
61729,2000,20,5,132,132
63934,2000,20,5,136,136
39683,4000,20,5,102,112
44092,4000,20,5,108,112
48501,4000,20,5,115,117
52910,4000,20,5,121,122
57320,4000,20,5,127,127
61729,4000,20,5,133,133
63934,4000,20,5,137,137
39683,6000,20,5,103,111
44092,6000,20,5,110,111
48501,6000,20,5,116,117
52910,6000,20,5,122,122
57320,6000,20,5,128,128
61729,6000,20,5,134,134
63934,6000,20,5,138,138
39683,8000,20,5,103,110
44092,8000,20,5,110,111
48501,8000,20,5,117,117
52910,8000,20,5,123,122
57320,8000,20,5,129,129
61729,8000,20,5,135,135
63934,8000,20,5,138,138
39683,10000,20,5,105,109
44092,10000,20,5,112,112
48501,10000,20,5,118,118
52910,10000,20,5,124,124
57320,10000,20,5,130,130
61729,10000,20,5,136,136
63934,10000,20,5,140,140
39683,0,0,10,100,110
44092,0,0,10,100,111
48501,0,0,10,103,112
52910,0,0,10,109,113
57320,0,0,10,115,118
61729,0,0,10,120,122
63934,0,0,10,124,125
39683,2000,0,10,100,109
44092,2000,0,10,100,110
48501,2000,0,10,105,111
52910,2000,0,10,110,113
57320,2000,0,10,116,118
61729,2000,0,10,121,122
63934,2000,0,10,125,125
39683,4000,0,10,100,109
44092,4000,0,10,100,109
48501,4000,0,10,105,111
52910,4000,0,10,111,113
57320,4000,0,10,116,118
61729,4000,0,10,122,122
63934,4000,0,10,125,125
39683,6000,0,10,100,108
44092,6000,0,10,100,109
48501,6000,0,10,105,111
52910,6000,0,10,111,113
57320,6000,0,10,117,118
61729,6000,0,10,122,122
63934,6000,0,10,126,126
39683,8000,0,10,100,107
44092,8000,0,10,100,108
48501,8000,0,10,106,110
52910,8000,0,10,112,113
57320,8000,0,10,118,118
61729,8000,0,10,123,123
63934,8000,0,10,127,127
39683,10000,0,10,100,106
44092,10000,0,10,101,107
48501,10000,0,10,108,108
52910,10000,0,10,113,113
57320,10000,0,10,119,119
61729,10000,0,10,124,124
63934,10000,0,10,128,128
39683,0,20,10,100,108
44092,0,20,10,100,108
48501,0,20,10,104,109
52910,0,20,10,110,113
57320,0,20,10,116,118
61729,0,20,10,121,122
63934,0,20,10,125,125
39683,2000,20,10,100,108
44092,2000,20,10,100,108
48501,2000,20,10,106,109
52910,2000,20,10,111,113
57320,2000,20,10,117,118
61729,2000,20,10,122,122
63934,2000,20,10,125,125
39683,4000,20,10,100,107
44092,4000,20,10,100,108
48501,4000,20,10,106,109
52910,4000,20,10,112,113
57320,4000,20,10,117,118
61729,4000,20,10,123,123
63934,4000,20,10,126,126
39683,6000,20,10,100,106
44092,6000,20,10,100,107
48501,6000,20,10,106,108
52910,6000,20,10,112,113
57320,6000,20,10,118,118
61729,6000,20,10,123,123
63934,6000,20,10,127,127
39683,8000,20,10,105,105
44092,8000,20,10,106,106
48501,8000,20,10,108,108
52910,8000,20,10,113,113
57320,8000,20,10,118,118
61729,8000,20,10,123,123
63934,8000,20,10,127,127
39683,10000,20,10,105,105
44092,10000,20,10,106,106
48501,10000,20,10,108,108
52910,10000,20,10,113,113
57320,10000,20,10,118,118
61729,10000,20,10,123,123
63934,10000,20,10,127,127
39683,0,0,15,98,104
44092,0,0,15,98,105
48501,0,0,15,100,106
52910,0,0,15,106,109
57320,0,0,15,111,113
61729,0,0,15,116,118
63934,0,0,15,119,120
39683,2000,0,15,98,104
44092,2000,0,15,98,105
48501,2000,0,15,101,106
52910,2000,0,15,106,109
57320,2000,0,15,112,113
61729,2000,0,15,117,118
63934,2000,0,15,120,120
39683,4000,0,15,98,104
44092,4000,0,15,98,105
48501,4000,0,15,101,106
52910,4000,0,15,107,109
57320,4000,0,15,112,113
61729,4000,0,15,117,118
63934,4000,0,15,120,120
39683,6000,0,15,98,104
44092,6000,0,15,98,105
48501,6000,0,15,102,106
52910,6000,0,15,108,109
57320,6000,0,15,113,113
61729,6000,0,15,118,118
63934,6000,0,15,121,121
39683,8000,0,15,98,104
44092,8000,0,15,98,105
48501,8000,0,15,103,106
52910,8000,0,15,108,109
57320,8000,0,15,114,114
61729,8000,0,15,118,118
63934,8000,0,15,122,122
39683,10000,0,15,98,105
44092,10000,0,15,98,106
48501,10000,0,15,104,107
52910,10000,0,15,109,110
